ExecutionTime
4/3/2023 11:02:58 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201606,"531,00","6.382,00","8,32"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201612,"522,00","6.533,00","7,99"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201706,"978,00","1.301,00","75,17"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201712,"942,00","1.240,00","75,97"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201806,"1.582,00","9.210,00","17,18"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201812,"1.554,00","9.494,00","16,37"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201906,"2.559,00","9.812,00","26,08"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201912,"2.377,00","9.918,00","23,97"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,202006,"2.073,00","10.184,00","20,36"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,202012,"1.868,00","10.424,00","17,92"

