ExecutionTime
4/6/2023 9:36:14 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20170630,"7.397,00","7.671,00","96,43"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20171231,"7.523,00","8.050,00","93,45"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20180630,"9.424,00","9.698,00","97,17"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20181231,"8.994,00","9.247,00","97,26"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20190630,"10.351,00","10.696,00","96,77"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20191231,"10.191,00","10.676,00","95,46"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20200331,"654,00","659,00","99,24"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20200630,"6.761,00","7.131,00","94,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20200930,"707,00","772,00","91,58"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20201231,"10.177,00","10.245,00","99,34"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20210331,"751,00","831,00","90,37"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20210630,"4.991,00","5.074,00","98,36"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20210930,"2.173,00","2.190,00","99,22"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20211231,"3.707,00","3.738,00","99,17"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20220331,"3.109,00","3.209,00","96,88"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20220630,"6.111,00","6.249,00","97,79"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20220930,"3.643,00","3.723,00","97,85"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,20221231,"4.960,00","5.054,00","98,14"

