ExecutionTime
4/6/2023 9:33:27 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20170630,"90.798,00","4.791,00","18,95"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20171231,"100.875,00","4.362,00","23,13"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20180630,"71.402,00","1.442,00","49,52"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20181231,"17.769,00","764,00","23,26"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20190630,"14.215,00","546,00","26,03"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20191231,"9.244,00","353,00","26,19"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20200630,"7.342,00","258,00","28,46"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20201231,"9.167,00","322,00","28,47"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20210630,"12.607,00","415,00","30,38"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20211231,"28.697,00","444,00","64,63"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20220630,"16.083,00","427,00","37,67"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20220930,"1.756,00","39,00","45,03"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,95,95 - Guaviare,00000,TOTAL,Total,1,Minutos,20221231,"15.513,00","455,00","34,09"

