ExecutionTime
4/7/2023 9:49:41 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,201706,"0,00","50,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,201712,"0,00","77,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,201806,"5,00","144,00","34,72"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,201812,"4,00","79,00","50,63"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,201906,"14,00","71,00","197,18"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,201912,"16,00","44,00","363,64"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202003,"0,00","25,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202006,"4,00","42,00","95,24"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202009,"0,00","15,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202012,"1,00","10,00","100,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202103,"0,00","8,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202106,"3,00","117,00","25,64"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202109,"0,00","77,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202112,"1,00","89,00","11,24"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202203,"0,00","7,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202206,"3,00","179,00","16,76"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202209,"0,00","483,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,95,Guaviare,00000,TOTAL,Total,N/A,1000,Tasa,202212,"3,00","501,00","5,99"

