ExecutionTime
4/3/2023 11:10:24 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201606,"3.733,00","8.444,00","44,21"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201612,"3.554,00","8.217,00","43,25"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201706,"4.393,00","8.703,00","50,48"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201712,"5.369,00","8.536,00","62,90"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201806,"5.994,00","8.327,00","71,98"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201812,"6.530,00","8.593,00","75,99"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201906,"7.008,00","7.405,00","94,64"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201912,"7.100,00","7.440,00","95,43"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,202006,"6.065,00","7.101,00","85,41"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,202012,"6.616,00","7.682,00","86,12"

