ExecutionTime
4/3/2023 11:10:42 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201606,"28.924,00","126.853,00","22,80"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201612,"27.698,00","128.843,00","21,50"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201706,"36.003,00","137.647,00","26,16"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201712,"31.124,00","139.862,00","22,25"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201806,"41.190,00","164.018,00","25,11"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201812,"38.567,00","166.766,00","23,13"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201906,"68.073,00","154.834,00","43,97"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,201912,"66.065,00","156.934,00","42,10"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,202006,"61.777,00","159.707,00","38,68"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,202012,"67.014,00","173.852,00","38,55"

