ExecutionTime
4/6/2023 9:42:27 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20170630,"114.380,00","116.035,00","98,57"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20171231,"145.072,00","148.283,00","97,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20180630,"147.898,00","150.317,00","98,39"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20181231,"159.222,00","161.887,00","98,35"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20190630,"158.640,00","160.572,00","98,80"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20191231,"171.563,00","173.868,00","98,67"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20200331,"71.531,00","72.433,00","98,75"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20200630,"95.468,00","95.950,00","99,50"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20200930,"95.672,00","96.421,00","99,22"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20201231,"71.569,00","72.118,00","99,24"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20210331,"81.358,00","82.289,00","98,87"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20210630,"84.407,00","85.424,00","98,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20210930,"83.367,00","84.498,00","98,66"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20211231,"84.111,00","84.679,00","99,33"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20220331,"80.398,00","81.108,00","99,12"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20220630,"96.195,00","97.356,00","98,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20220930,"92.579,00","93.430,00","99,09"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,41,41 - Huila,00000,TOTAL,Total,100,Porcentaje,20221231,"92.841,00","94.010,00","98,76"

