ExecutionTime
4/6/2023 9:41:16 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20170630,"281.165,00","161.286,00","1,74"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20171231,"163.208,00","84.079,00","1,94"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20180630,"170.950,00","109.798,00","1,56"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20181231,"255.172,00","149.489,00","1,71"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20190630,"279.483,00","150.163,00","1,86"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20191231,"156.900,00","122.428,00","1,28"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20200331,"118.735,00","50.056,00","2,37"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20200630,"22.499,00","28.285,00","0,80"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20200930,"44.166,00","44.841,00","0,98"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20201231,"38.128,00","40.624,00","0,94"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20210331,"83.776,00","42.875,00","1,95"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20210630,"128.952,00","71.114,00","1,81"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20210930,"266.660,00","75.614,00","3,53"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20211231,"111.110,00","70.779,00","1,57"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20220331,"150.490,00","86.507,00","1,74"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20220630,"126.485,00","63.742,00","1,98"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20220930,"100.835,00","60.487,00","1,67"
Tiempo promedio de espera para la asignación de cita de  Odontología General,41,41 - Huila,00000,TOTAL,Total,1,Días,20221231,"107.480,00","58.537,00","1,84"

