ExecutionTime
4/7/2023 9:51:43 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"23,00","7.330,00","3,14"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"60,00","18.312,00","3,28"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"37,00","21.742,00","1,70"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"47,00","23.257,00","2,02"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"80,00","26.912,00","2,97"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"75,00","46.988,00","1,60"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIN,1000,Tasa,2016,"4,00","3.513,00","1,14"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIN,1000,Tasa,2017,"2,00","8.050,00","0,25"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIN,1000,Tasa,2018,"2,00","8.602,00","0,23"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIN,1000,Tasa,2019,"10,00","8.026,00","1,25"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIN,1000,Tasa,2020,"16,00","6.512,00","2,46"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIN,1000,Tasa,2021,"28,00","9.321,00","3,00"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"8,00","1.654,00","4,84"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"10,00","3.752,00","2,67"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"9,00","4.347,00","2,07"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"10,00","4.513,00","2,22"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"15,00","3.414,00","4,39"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"12,00","3.983,00","3,01"

