ExecutionTime
4/7/2023 9:52:09 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"11,00","9.460,00","1,16"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"18,00","21.367,00","0,84"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"25,00","23.799,00","1,05"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"18,00","26.296,00","0,68"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"17,00","31.110,00","0,55"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"21,00","50.330,00","0,42"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"3,00","891,00","3,37"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"2,00","2.077,00","0,96"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"5,00","2.872,00","1,74"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"0,00","2.639,00","0,00"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"4,00","1.768,00","2,26"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),41,41 - Huila,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"0,00","2.146,00","0,00"

