ExecutionTime
4/4/2023 5:28:48 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201606,"125,00","7.556,00","16,54"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201612,"128,00","8.406,00","15,23"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201706,"122,00","7.733,00","15,78"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201712,"152,00","10.033,00","15,15"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201806,"138,00","9.029,00","15,28"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201812,"234,00","12.358,00","18,94"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201906,"208,00","11.236,00","18,51"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201912,"273,00","13.275,00","20,56"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202006,"215,00","10.709,00","20,08"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202012,"271,00","12.810,00","21,16"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202106,"229,00","11.711,00","19,55"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202112,"289,00","14.193,00","20,36"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202206,"250,00","11.190,00","22,34"
Tasa de mortalidad perinatal,44,44 - La Guajira,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202212,"248,00","12.101,00","20,49"

