ExecutionTime
4/4/2023 5:30:08 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201606,"2.158,00","5.027,00","42,93"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201612,"2.231,00","5.475,00","40,75"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201706,"2.251,00","5.562,00","40,47"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201712,"2.825,00","6.678,00","42,30"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201806,"3.250,00","6.137,00","52,96"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201812,"4.833,00","7.876,00","61,36"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201906,"5.010,00","6.881,00","72,81"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,201912,"5.404,00","7.915,00","68,28"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,202006,"4.275,00","6.635,00","64,43"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,202012,"4.673,00","8.089,00","57,77"

