ExecutionTime
4/6/2023 9:46:07 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20170630,"99.967,00","102.318,00","97,70"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20171231,"111.931,00","114.357,00","97,88"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20180630,"109.110,00","112.210,00","97,24"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20181231,"117.824,00","120.553,00","97,74"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20190630,"80.855,00","82.652,00","97,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20191231,"104.619,00","106.644,00","98,10"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20200331,"46.620,00","47.906,00","97,32"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20200630,"39.045,00","39.548,00","98,73"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20200930,"39.234,00","39.863,00","98,42"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20201231,"46.992,00","47.947,00","98,01"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20210331,"40.981,00","41.992,00","97,59"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20210630,"47.386,00","48.152,00","98,41"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20210930,"46.106,00","47.198,00","97,69"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20211231,"54.234,00","55.600,00","97,54"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20220331,"97.194,00","98.220,00","98,96"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20220630,"76.218,00","78.778,00","96,75"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20220930,"76.001,00","77.014,00","98,68"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,44,44 - La Guajira,00000,TOTAL,Total,100,Porcentaje,20221231,"73.314,00","74.492,00","98,42"

