ExecutionTime
4/6/2023 9:45:08 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20170630,"69.167,00","13.585,00","5,09"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20171231,"100.455,00","15.577,00","6,45"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20180630,"92.214,00","17.820,00","5,17"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20181231,"110.749,00","21.415,00","5,17"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20190630,"106.161,00","17.362,00","6,11"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20191231,"92.674,00","15.817,00","5,86"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20200331,"48.306,00","9.365,00","5,16"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20200630,"20.028,00","3.123,00","6,41"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20200930,"18.869,00","4.569,00","4,13"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20201231,"28.443,00","6.450,00","4,41"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20210331,"46.005,00","9.175,00","5,01"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20210630,"41.877,00","8.432,00","4,97"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20210930,"41.588,00","8.521,00","4,88"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20211231,"51.859,00","9.918,00","5,23"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20220331,"57.669,00","10.891,00","5,30"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20220630,"43.945,00","9.854,00","4,46"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20220930,"57.830,00","12.454,00","4,64"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,44,44 - La Guajira,00000,TOTAL,Total,1,Días,20221231,"49.685,00","11.631,00","4,27"

