ExecutionTime
4/7/2023 9:55:35 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,201706,"20,00","53.733,00","0,37"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,201712,"34,00","65.915,00","0,52"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,201806,"30,00","45.907,00","0,65"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,201812,"31,00","72.127,00","0,43"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,201906,"27,00","68.138,00","0,40"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,201912,"37,00","114.896,00","0,32"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202003,"16,00","39.788,00","0,40"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202006,"19,00","46.026,00","0,41"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202009,"24,00","28.328,00","0,85"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202012,"11,00","85.655,00","0,13"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202103,"11,00","27.064,00","0,41"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202106,"21,00","26.716,00","0,79"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202109,"22,00","46.541,00","0,47"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202112,"18,00","47.525,00","0,38"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202203,"17,00","37.927,00","0,45"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202206,"16,00","59.359,00","0,27"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202209,"18,00","92.017,00","0,20"
Tasa de caída de pacientes en el servicio de hospitalización,44,La Guajira,00000,TOTAL,Total,N/A,1000,Tasa,202212,"15,00","28.686,00","0,52"

