ExecutionTime
4/4/2023 5:40:08 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201606,"2.438,00","7.336,00","33,23"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201612,"2.838,00","7.837,00","36,21"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201706,"3.334,00","8.561,00","38,94"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201712,"3.674,00","10.074,00","36,47"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201806,"3.711,00","8.536,00","43,47"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201812,"4.733,00","9.798,00","48,31"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201906,"4.755,00","8.857,00","53,69"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,201912,"4.554,00","9.337,00","48,77"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,202006,"4.157,00","7.590,00","54,77"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,202012,"4.768,00","9.268,00","51,45"

