ExecutionTime
4/6/2023 9:47:24 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20170630,"154,00","18,00","8,56"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20171231,"245,00","15,00","16,33"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20180630,"94,00","14,00","6,71"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20181231,"258,00","10,00","25,80"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20190630,"119,00","12,00","9,92"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20191231,"641,00","15,00","42,73"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20200331,"122,00","5,00","24,40"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20200630,"4,00","2,00","2,00"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20200930,"4,00","4,00","1,00"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20201231,"12,00","5,00","2,40"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20210331,"77,00","13,00","5,92"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20210630,"17,00","9,00","1,89"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20210930,"15,00","7,00","2,14"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20211231,"35,00","6,00","5,83"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20220331,"4,00","3,00","1,33"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20220630,"202,00","12,00","16,83"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20220930,"221,00","8,00","27,63"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,47,47 - Magdalena,00000,TOTAL,Total,1,Días,20221231,"311,00","9,00","34,56"

