ExecutionTime
4/6/2023 9:48:24 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20170630,"91.344,00","97.878,00","93,32"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20171231,"100.505,00","107.134,00","93,81"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20180630,"111.114,00","118.850,00","93,49"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20181231,"131.582,00","138.334,00","95,12"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20190630,"153.797,00","160.900,00","95,59"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20191231,"173.639,00","181.522,00","95,66"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20200331,"52.750,00","55.219,00","95,53"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20200630,"46.512,00","48.731,00","95,45"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20200930,"52.405,00","54.256,00","96,59"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20201231,"68.303,00","70.436,00","96,97"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20210331,"56.259,00","58.684,00","95,87"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20210630,"79.038,00","81.816,00","96,60"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20210930,"86.560,00","91.080,00","95,04"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20211231,"91.192,00","94.356,00","96,65"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20220331,"101.003,00","105.351,00","95,87"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20220630,"100.711,00","107.927,00","93,31"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20220930,"99.874,00","104.454,00","95,62"
Proporción de Satisfacción Global de los usuarios en la IPS,47,47 - Magdalena,00000,TOTAL,Total,100,Porcentaje,20221231,"89.147,00","94.634,00","94,20"

