ExecutionTime
4/7/2023 9:58:38 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,201706,"34,00","62.281,00","0,55"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,201712,"20,00","70.004,00","0,29"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,201806,"36,00","128.602,00","0,28"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,201812,"43,00","85.689,00","0,50"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,201906,"28,00","79.812,00","0,35"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,201912,"21,00","76.681,00","0,27"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202003,"12,00","39.169,00","0,31"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202006,"6,00","27.496,00","0,22"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202009,"12,00","20.432,00","0,59"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202012,"8,00","23.911,00","0,33"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202103,"14,00","18.171,00","0,77"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202106,"9,00","17.471,00","0,52"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202109,"12,00","26.234,00","0,46"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202112,"9,00","24.120,00","0,37"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202203,"11,00","15.593,00","0,71"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202206,"15,00","36.998,00","0,41"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202209,"13,00","58.516,00","0,22"
Tasa de caída de pacientes en el servicio de urgencias,47,Magdalena,00000,TOTAL,Total,N/A,1000,Tasa,202212,"19,00","34.288,00","0,55"

