ExecutionTime
4/4/2023 5:51:45 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201406,"2,00","4.681,00","0,04"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201412,"1,00","5.263,00","0,02"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201506,"1,00","4.001,00","0,02"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201512,"1,00","1.982,00","0,05"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201606,"0,00","1.954,00","0,00"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201612,"0,00","838,00","0,00"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201706,"1,00","1.636,00","0,06"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201712,"2,00","1.630,00","0,12"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201806,"1,00","2.156,00","0,05"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201812,"1,00","1.568,00","0,06"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201906,"1,00","3.377,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,201912,"1,00","2.856,00","0,04"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,202006,"1,00","2.625,00","0,04"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,202012,"1,00","1.154,00","0,09"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,202106,"1,00","1.022,00","0,10"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,202112,"5,00","1.364,00","0,37"

