ExecutionTime
4/6/2023 9:51:34 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20170630,"109.061,00","115.943,00","94,06"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20171231,"143.144,00","149.897,00","95,49"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20180630,"95.705,00","102.909,00","93,00"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20181231,"125.986,00","131.919,00","95,50"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20190630,"137.654,00","143.864,00","95,68"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20191231,"221.093,00","229.079,00","96,51"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20200331,"59.403,00","61.433,00","96,70"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20200630,"66.107,00","68.345,00","96,73"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20200930,"62.258,00","65.248,00","95,42"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20201231,"83.691,00","86.971,00","96,23"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20210331,"73.658,00","76.736,00","95,99"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20210630,"89.691,00","94.649,00","94,76"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20210930,"91.831,00","94.185,00","97,50"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20211231,"111.129,00","116.478,00","95,41"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20220331,"94.848,00","99.991,00","94,86"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20220630,"88.648,00","92.172,00","96,18"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20220930,"93.973,00","97.443,00","96,44"
Proporción de Satisfacción Global de los usuarios en la IPS,50,50 - Meta,00000,TOTAL,Total,100,Porcentaje,20221231,"64.764,00","67.732,00","95,62"

