ExecutionTime
4/6/2023 9:52:14 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20170630,"13.254,00","1.684,00","7,87"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20171231,"21.578,00","3.138,00","6,88"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20180630,"49.799,00","6.203,00","8,03"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20181231,"49.583,00","8.946,00","5,54"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20190630,"41.232,00","6.675,00","6,18"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20191231,"39.763,00","5.541,00","7,18"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20200331,"15.571,00","1.412,00","11,03"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20200630,"10.910,00","2.531,00","4,31"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20200930,"18.709,00","2.984,00","6,27"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20201231,"19.570,00","3.035,00","6,45"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20210331,"14.190,00","2.743,00","5,17"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20210630,"16.932,00","2.878,00","5,88"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20210930,"15.450,00","2.811,00","5,50"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20211231,"12.710,00","3.112,00","4,08"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20220331,"16.113,00","3.091,00","5,21"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20220630,"10.956,00","1.476,00","7,42"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20220930,"16.042,00","2.219,00","7,23"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,50,50 - Meta,00000,TOTAL,Total,1,Días,20221231,"7.088,00","1.182,00","6,00"

