ExecutionTime
4/4/2023 5:59:36 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201606,"20,00","942,00","2,12"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201612,"8,00","476,00","1,68"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201706,"12,00","588,00","2,04"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201712,"17,00","757,00","2,25"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201806,"23,00","1.295,00","1,78"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201812,"25,00","923,00","2,71"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201906,"36,00","2.022,00","1,78"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,201912,"20,00","1.482,00","1,35"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,202006,"21,00","780,00","2,69"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,202012,"1,00","206,00","0,49"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,202106,"9,00","581,00","1,55"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,202112,"9,00","627,00","1,44"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,202206,"14,00","704,00","1,99"

