ExecutionTime
4/6/2023 9:57:18 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20170630,"86.044,00","91.835,00","93,69"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20171231,"81.495,00","85.987,00","94,78"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20180630,"88.034,00","94.241,00","93,41"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20181231,"90.551,00","95.752,00","94,57"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20190630,"110.493,00","116.319,00","94,99"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20191231,"98.433,00","103.232,00","95,35"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20200331,"31.239,00","33.078,00","94,44"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20200630,"41.936,00","43.267,00","96,92"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20200930,"28.701,00","30.339,00","94,60"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20201231,"43.229,00","44.465,00","97,22"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20210331,"39.548,00","41.485,00","95,33"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20210630,"62.639,00","64.774,00","96,70"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20210930,"47.896,00","50.418,00","95,00"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20211231,"53.994,00","56.426,00","95,69"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20220331,"44.651,00","46.265,00","96,51"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20220630,"60.870,00","63.287,00","96,18"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20220930,"58.654,00","60.648,00","96,71"
Proporción de Satisfacción Global de los usuarios en la IPS,52,52 - Nariño,00000,TOTAL,Total,100,Porcentaje,20221231,"63.316,00","65.963,00","95,99"

