ExecutionTime
4/6/2023 9:57:37 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20170630,"474.283,00","132.972,00","3,57"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20171231,"140.414,00","91.253,00","1,54"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20180630,"248.013,00","146.617,00","1,69"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20181231,"388.638,00","162.213,00","2,40"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20190630,"247.672,00","158.410,00","1,56"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20191231,"263.026,00","162.521,00","1,62"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20200331,"94.474,00","66.166,00","1,43"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20200630,"74.458,00","41.277,00","1,80"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20200930,"9.854,00","34.012,00","0,29"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20201231,"80.407,00","51.282,00","1,57"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20210331,"51.478,00","58.991,00","0,87"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20210630,"159.154,00","78.552,00","2,03"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20210930,"118.572,00","68.977,00","1,72"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20211231,"198.215,00","98.895,00","2,00"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20220331,"142.825,00","70.221,00","2,03"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20220630,"124.161,00","61.917,00","2,01"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20220930,"349.799,00","98.088,00","3,57"
Tiempo promedio de espera para la asignación de cita de  Odontología General,52,52 - Nariño,00000,TOTAL,Total,1,Días,20221231,"83.406,00","54.326,00","1,54"

