ExecutionTime
4/7/2023 10:04:06 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"1,00","914,00","1,09"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2017,,,
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2018,,,
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2019,,,
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2020,,,
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2021,,,
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"31,00","6.943,00","4,46"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"12,00","16.364,00","0,73"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"19,00","17.815,00","1,07"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"25,00","18.266,00","1,37"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"16,00","14.549,00","1,10"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"61,00","22.777,00","2,68"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"1,00","530,00","1,89"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"0,00","1.240,00","0,00"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"2,00","1.259,00","1,59"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"1,00","1.297,00","0,77"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"0,00","1.085,00","0,00"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),50,50 - Meta,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"0,00","1.293,00","0,00"

