ExecutionTime
4/4/2023 6:23:17 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201606,"2.724,00","7.292,00","37,36"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201612,"3.086,00","6.916,00","44,62"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201706,"3.911,00","8.234,00","47,50"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201712,"3.969,00","8.664,00","45,81"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201806,"4.228,00","8.190,00","51,62"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201812,"4.881,00","8.795,00","55,50"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201906,"5.123,00","8.380,00","61,13"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201912,"5.460,00","8.601,00","63,48"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,202006,"4.936,00","7.734,00","63,82"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,202012,"5.682,00","8.224,00","69,09"

