ExecutionTime
4/4/2023 6:26:25 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201606,"21.310,00","111.393,00","19,13"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201612,"20.326,00","113.537,00","17,90"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201706,"26.465,00","156.613,00","16,90"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201712,"22.929,00","159.767,00","14,35"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201806,"36.570,00","195.941,00","18,66"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201812,"35.187,00","201.182,00","17,49"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201906,"66.957,00","212.701,00","31,48"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,201912,"65.596,00","216.720,00","30,27"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,202006,"60.877,00","220.482,00","27,61"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,202012,"70.455,00","231.374,00","30,45"

