ExecutionTime
4/6/2023 10:03:03 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20170630,"172.970,00","176.805,00","97,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20171231,"162.095,00","166.865,00","97,14"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20180630,"162.279,00","174.132,00","93,19"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20181231,"184.807,00","188.989,00","97,79"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20190630,"154.090,00","157.499,00","97,84"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20191231,"178.013,00","181.146,00","98,27"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20200331,"68.019,00","69.418,00","97,98"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20200630,"70.812,00","72.179,00","98,11"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20200930,"65.658,00","67.526,00","97,23"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20201231,"77.844,00","79.086,00","98,43"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20210331,"87.112,00","88.397,00","98,55"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20210630,"96.074,00","98.068,00","97,97"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20210930,"96.666,00","97.920,00","98,72"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20211231,"104.529,00","106.246,00","98,38"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20220331,"92.292,00","94.120,00","98,06"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20220630,"103.337,00","104.584,00","98,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20220930,"109.293,00","110.303,00","99,08"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,54,54 - Norte de Santander,00000,TOTAL,Total,100,Porcentaje,20221231,"117.049,00","118.100,00","99,11"

