ExecutionTime
4/6/2023 10:01:18 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20170630,"97.303,00","16.221,00","6,00"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20171231,"61.026,00","14.064,00","4,34"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20180630,"106.823,00","22.198,00","4,81"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20181231,"117.907,00","25.946,00","4,54"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20190630,"119.687,00","26.749,00","4,47"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20191231,"64.874,00","18.955,00","3,42"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20200331,"49.022,00","10.005,00","4,90"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20200630,"7.970,00","5.696,00","1,40"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20200930,"16.627,00","8.236,00","2,02"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20201231,"28.767,00","8.990,00","3,20"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20210331,"59.318,00","13.492,00","4,40"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20210630,"51.641,00","11.454,00","4,51"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20210930,"52.955,00","14.816,00","3,57"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20211231,"52.716,00","15.324,00","3,44"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20220331,"57.270,00","15.287,00","3,75"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20220630,"74.902,00","16.248,00","4,61"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20220930,"66.305,00","17.124,00","3,87"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,54,54 - Norte de Santander,00000,TOTAL,Total,1,Días,20221231,"54.884,00","14.938,00","3,67"

