ExecutionTime
4/7/2023 10:08:50 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),201706,"75,00","7.302,00","1,03"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),201712,"73,00","10.158,00","0,72"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),201806,"70,00","16.751,00","0,42"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),201812,"63,00","24.302,00","0,26"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),201906,"85,00","27.898,00","0,30"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),201912,"74,00","25.271,00","0,29"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202003,"23,00","15.593,00","0,15"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202006,"72,00","25.150,00","0,29"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202009,"25,00","8.640,00","0,29"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202012,"11,00","30.889,00","0,04"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202103,"17,00","5.707,00","0,30"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202106,"41,00","8.590,00","0,48"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202109,"57,00","11.595,00","0,49"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202112,"18,00","9.337,00","0,19"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202203,"44,00","9.424,00","0,47"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202206,"54,00","11.011,00","0,49"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202209,"31,00","15.630,00","0,20"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,54,Norte de Santander,00000,TOTAL,Total,N/A,100,Por 100 (%),202212,"32,00","8.599,00","0,37"

