ExecutionTime
4/4/2023 6:36:52 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201606,"41.529,00","74.748,00","55,56"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201612,"41.162,00","76.207,00","54,01"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201706,"46.976,00","87.068,00","53,95"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201712,"46.318,00","88.317,00","52,45"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201806,"53.965,00","102.436,00","52,68"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201906,"57.199,00","102.382,00","55,87"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,201912,"55.105,00","103.535,00","53,22"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,202006,"53.012,00","106.076,00","49,98"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,202012,"53.396,00","110.772,00","48,20"

