ExecutionTime
4/6/2023 10:08:16 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20170630,"20.099,00","6.029,00","3,33"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20171231,"27.541,00","9.429,00","2,92"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20180630,"44.064,00","12.820,00","3,44"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20181231,"63.816,00","14.108,00","4,52"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20190630,"80.782,00","16.398,00","4,93"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20191231,"62.038,00","16.056,00","3,86"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20200331,"55.514,00","12.756,00","4,35"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20200630,"16.751,00","6.270,00","2,67"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20200930,"22.479,00","7.786,00","2,89"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20201231,"28.911,00","8.611,00","3,36"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20210331,"35.023,00","11.730,00","2,99"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20210630,"44.359,00","14.640,00","3,03"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20210930,"40.866,00","15.129,00","2,70"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20211231,"39.055,00","11.922,00","3,28"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20220331,"26.878,00","10.424,00","2,58"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20220630,"65.139,00","12.551,00","5,19"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20220930,"48.770,00","12.456,00","3,92"
Tiempo promedio de espera para la toma de Ecografía,86,86 - Putumayo,00000,TOTAL,Total,1,Días,20221231,"65.745,00","14.019,00","4,69"

