ExecutionTime
4/6/2023 10:07:06 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20170630,"34.921,00","41.342,00","84,47"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20171231,"28.247,00","30.121,00","93,78"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20180630,"28.533,00","32.391,00","88,09"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20181231,"34.818,00","36.981,00","94,15"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20190630,"38.982,00","41.613,00","93,68"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20191231,"35.399,00","37.696,00","93,91"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20200331,"19.619,00","21.283,00","92,18"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20200630,"12.480,00","13.696,00","91,12"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20200930,"14.824,00","16.303,00","90,93"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20201231,"18.814,00","19.739,00","95,31"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20210331,"22.476,00","24.497,00","91,75"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20210630,"26.109,00","28.195,00","92,60"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20210930,"25.610,00","27.752,00","92,28"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20211231,"22.572,00","24.860,00","90,80"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20220331,"19.789,00","22.375,00","88,44"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20220630,"22.146,00","24.611,00","89,98"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20220930,"21.256,00","23.034,00","92,28"
Proporción de Satisfacción Global de los usuarios en la IPS,86,86 - Putumayo,00000,TOTAL,Total,100,Porcentaje,20221231,"24.682,00","26.593,00","92,81"

