ExecutionTime
4/7/2023 10:12:50 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201706,"0,00","11.113,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201712,"0,00","13.622,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201806,"0,00","7.592,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201812,"0,00","17.350,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201906,"0,00","27.415,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201912,"2,00","81.977,00","0,02"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202003,"3,00","73.897,00","0,04"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202006,"1,00","60.754,00","0,02"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202009,"7,00","20.053,00","0,35"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202012,"0,00","20.238,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202103,"2,00","19.032,00","0,11"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202106,"3,00","29.846,00","0,10"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202109,"4,00","21.302,00","0,19"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202112,"8,00","16.376,00","0,49"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202203,"8,00","2.328,00","3,44"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202206,"0,00","10.466,00","0,00"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202209,"2,00","9.236,00","0,22"
Tasa de úlceras por presión.,86,Putumayo,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202212,"0,00","4.936,00","0,00"

