ExecutionTime
4/4/2023 8:37:42 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201606,"32,00","3.024,00","10,58"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201612,"34,00","3.184,00","10,68"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201706,"44,00","3.077,00","14,30"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201712,"43,00","3.189,00","13,48"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201806,"38,00","2.959,00","12,84"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201812,"49,00","3.005,00","16,31"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201906,"35,00","2.787,00","12,56"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201912,"36,00","2.784,00","12,93"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202006,"34,00","2.722,00","12,49"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202012,"36,00","3.035,00","11,86"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202106,"43,00","2.673,00","16,09"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202112,"31,00","2.847,00","10,89"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202206,"35,00","2.601,00","13,46"
Tasa de mortalidad perinatal,63,63 - Quindio,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202212,"32,00","2.530,00","12,65"

