ExecutionTime
4/6/2023 10:10:19 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20170630,"44.546,00","47.456,00","93,87"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20171231,"41.980,00","44.928,00","93,44"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20180630,"44.220,00","47.502,00","93,09"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20181231,"95.430,00","104.361,00","91,44"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20190630,"77.041,00","81.155,00","94,93"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20191231,"67.043,00","71.366,00","93,94"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20200331,"22.294,00","23.007,00","96,90"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20200630,"19.721,00","20.253,00","97,37"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20200930,"22.424,00","22.967,00","97,64"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20201231,"30.129,00","30.899,00","97,51"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20210331,"26.817,00","27.478,00","97,59"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20210630,"30.090,00","31.157,00","96,58"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20210930,"32.603,00","33.535,00","97,22"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20211231,"40.726,00","42.257,00","96,38"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20220331,"39.053,00","40.361,00","96,76"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20220630,"43.911,00","45.393,00","96,74"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20220930,"44.106,00","45.686,00","96,54"
Proporción de Satisfacción Global de los usuarios en la IPS,63,63 - Quindio,00000,TOTAL,Total,100,Porcentaje,20221231,"41.290,00","42.965,00","96,10"

