ExecutionTime
4/7/2023 10:14:29 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"22,00","2.505,00","8,78"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2017,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2018,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2019,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2020,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIA,1000,Tasa,2021,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIN,1000,Tasa,2016,"1,00","659,00","1,52"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIN,1000,Tasa,2017,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIN,1000,Tasa,2018,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIN,1000,Tasa,2019,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIN,1000,Tasa,2020,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIN,1000,Tasa,2021,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"0,00","47,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIP,1000,Tasa,2017,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIP,1000,Tasa,2018,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIP,1000,Tasa,2019,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIP,1000,Tasa,2020,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,05 - Antioquia,00000,TOTAL,Total,UCIP,1000,Tasa,2021,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIA,1000,Tasa,2016,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"33,00","8.180,00","4,03"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"39,00","9.094,00","4,29"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"39,00","7.320,00","5,33"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"12,00","4.962,00","2,42"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"14,00","11.989,00","1,17"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIN,1000,Tasa,2016,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIN,1000,Tasa,2017,"1,00","1.058,00","0,95"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIN,1000,Tasa,2018,"0,00","655,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIN,1000,Tasa,2019,"0,00","627,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIN,1000,Tasa,2020,"0,00","110,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIN,1000,Tasa,2021,"2,00","637,00","3,14"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIP,1000,Tasa,2016,,,
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"0,00","175,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"1,00","267,00","3,75"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"0,00","195,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"0,00","51,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),63,63 - Quindio,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"0,00","45,00","0,00"

