ExecutionTime
4/4/2023 9:06:47 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201606,"1.159,00","3.737,00","31,01"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201612,"1.459,00","3.688,00","39,56"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201706,"1.885,00","4.357,00","43,26"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201712,"2.014,00","4.370,00","46,09"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201806,"2.102,00","4.081,00","51,51"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201812,"2.299,00","4.200,00","54,74"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201906,"2.413,00","3.925,00","61,48"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201912,"2.694,00","3.873,00","69,56"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202006,"2.431,00","3.543,00","68,61"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202012,"2.501,00","3.873,00","64,58"

