ExecutionTime
4/4/2023 9:07:53 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201606,"1.178,00","4.681,00","25,17"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201612,"1.318,00","5.155,00","25,57"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201706,"1.322,00","4.995,00","26,47"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201712,"1.454,00","5.298,00","27,44"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201806,"1.353,00","4.928,00","27,46"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201812,"1.528,00","5.281,00","28,93"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201906,"1.448,00","4.997,00","28,98"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,201912,"1.533,00","5.206,00","29,45"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202006,"1.440,00","4.783,00","30,11"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202012,"1.643,00","5.373,00","30,58"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202106,"1.486,00","4.951,00","30,01"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202112,"1.605,00","5.168,00","31,06"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202206,"1.400,00","4.562,00","30,69"
Proporción de partos por cesárea,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,202212,"1.436,00","4.655,00","30,85"

