ExecutionTime
4/6/2023 10:15:41 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20170630,"140.095,00","143.649,00","97,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20171231,"141.012,00","149.178,00","94,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20180630,"82.846,00","84.943,00","97,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20181231,"218.282,00","229.356,00","95,17"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20190630,"132.537,00","134.784,00","98,33"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20191231,"132.213,00","134.272,00","98,47"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20200331,"47.884,00","48.662,00","98,40"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20200630,"40.415,00","41.849,00","96,57"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20200930,"52.394,00","53.026,00","98,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20201231,"68.610,00","71.659,00","95,75"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20210331,"64.758,00","65.588,00","98,73"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20210630,"63.935,00","66.460,00","96,20"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20210930,"63.636,00","65.841,00","96,65"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20211231,"63.064,00","64.819,00","97,29"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20220331,"65.388,00","66.358,00","98,54"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20220630,"76.744,00","77.663,00","98,82"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20220930,"74.003,00","74.892,00","98,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,66,66 - Risaralda,00000,TOTAL,Total,100,Porcentaje,20221231,"51.053,00","51.781,00","98,59"

