ExecutionTime
4/7/2023 10:17:39 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"10,00","8.516,00","1,17"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"17,00","14.412,00","1,18"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"29,00","15.713,00","1,85"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"16,00","13.384,00","1,20"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"17,00","12.802,00","1,33"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"57,00","30.497,00","1,87"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIN,1000,Tasa,2016,"0,00","1.194,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIN,1000,Tasa,2017,"0,00","2.082,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIN,1000,Tasa,2018,"3,00","2.978,00","1,01"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIN,1000,Tasa,2019,"0,00","3.053,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIN,1000,Tasa,2020,"0,00","446,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIN,1000,Tasa,2021,"1,00","2.775,00","0,36"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"1,00","885,00","1,13"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"1,00","1.128,00","0,89"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"8,00","1.000,00","8,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"0,00","1.061,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"7,00","833,00","8,40"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),66,66 - Risaralda,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"1,00","1.558,00","0,64"

