ExecutionTime
4/4/2023 9:22:02 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201406,"1,00","1.016,00","0,10"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201412,"0,00","541,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201506,"0,00","145,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201512,"0,00","63,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201606,"0,00","53,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201612,"0,00","42,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201706,"0,00","448,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201712,"0,00","334,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201806,"0,00","231,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201812,"0,00","224,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201906,"0,00","604,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,201912,"0,00","512,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,202006,"0,00","117,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,202012,"0,00","89,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,202106,"0,00","276,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,202112,"0,00","509,00","0,00"

