ExecutionTime
4/6/2023 10:26:05 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20170630,"683,00","691,00","98,84"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20171231,"16.493,00","16.650,00","99,06"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20180630,"1.185,00","1.187,00","99,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20181231,"1.066,00","1.079,00","98,80"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20190630,"1.439,00","1.454,00","98,97"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20191231,"1.851,00","1.936,00","95,61"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20200331,"786,00","814,00","96,56"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20200630,"814,00","835,00","97,49"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20200930,"308,00","343,00","89,80"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20201231,"1.204,00","1.246,00","96,63"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20210331,"505,00","527,00","95,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20210630,"442,00","464,00","95,26"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20210930,"1.088,00","1.122,00","96,97"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20211231,"1.230,00","1.310,00","93,89"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20220331,"673,00","712,00","94,52"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20220630,"784,00","809,00","96,91"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20220930,"1.259,00","1.344,00","93,68"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20221231,"1.084,00","1.121,00","96,70"

