ExecutionTime
4/6/2023 10:24:32 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20170630,"681,00","688,00","98,98"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20171231,"16.637,00","17.213,00","96,65"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20180630,"1.247,00","1.290,00","96,67"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20181231,"1.052,00","1.120,00","93,93"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20190630,"1.610,00","1.648,00","97,69"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20191231,"1.906,00","1.963,00","97,10"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20200331,"772,00","816,00","94,61"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20200630,"821,00","846,00","97,04"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20200930,"352,00","362,00","97,24"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20201231,"1.230,00","1.274,00","96,55"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20210331,"658,00","690,00","95,36"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20210630,"441,00","470,00","93,83"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20210930,"1.083,00","1.128,00","96,01"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20211231,"1.217,00","1.318,00","92,34"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20220331,"674,00","718,00","93,87"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20220630,"776,00","815,00","95,21"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20220930,"1.267,00","1.357,00","93,37"
Proporción de Satisfacción Global de los usuarios en la IPS,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,100,Porcentaje,20221231,"1.083,00","1.138,00","95,17"

