ExecutionTime
4/7/2023 10:33:40 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201706,"4,00","472,00","8,47"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201712,"3,00","582,00","5,15"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201806,"14,00","675,00","20,74"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201812,"0,00","58,00","0,00"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201906,"1,00","74,00","13,51"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201912,"2,00","454,00","4,41"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202006,"7,00","735,00","9,52"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202012,"4,00","505,00","7,92"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202106,"1,00","127,00","7,87"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202112,"0,00","665,00","0,00"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,88,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202206,"16,00","1.830,00","8,74"

