ExecutionTime
4/4/2023 9:40:38 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201606,"122,00","10.568,00","1,15"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201612,"77,00","10.500,00","0,73"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201706,"182,00","11.898,00","1,53"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201712,"205,00","12.189,00","1,68"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201806,"488,00","13.381,00","3,65"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201812,"416,00","12.489,00","3,33"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201906,"638,00","9.923,00","6,43"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,201912,"396,00","10.037,00","3,95"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,202006,"329,00","9.011,00","3,65"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,202012,"127,00","9.625,00","1,32"

