ExecutionTime
4/6/2023 10:31:16 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20170630,"187.124,00","193.698,00","96,61"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20171231,"194.163,00","198.921,00","97,61"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20180630,"243.469,00","251.251,00","96,90"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20181231,"235.849,00","243.320,00","96,93"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20190630,"250.282,00","267.320,00","93,63"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20191231,"245.699,00","259.747,00","94,59"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20200331,"96.708,00","99.067,00","97,62"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20200630,"93.970,00","95.743,00","98,15"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20200930,"100.953,00","103.250,00","97,78"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20201231,"115.245,00","117.935,00","97,72"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20210331,"103.746,00","105.607,00","98,24"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20210630,"134.963,00","138.303,00","97,59"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20210930,"122.753,00","125.525,00","97,79"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20211231,"149.594,00","242.381,00","61,72"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20220331,"142.176,00","145.081,00","98,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20220630,"162.165,00","164.954,00","98,31"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20220930,"149.454,00","152.444,00","98,04"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,68,68 - Santander,00000,TOTAL,Total,100,Porcentaje,20221231,"171.600,00","174.481,00","98,35"

