ExecutionTime
4/6/2023 10:31:30 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20170630,"270,00","80,00","3,38"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20171231,"109,00","14,00","7,79"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20180630,"135,00","32,00","4,22"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20181231,"53,00","19,00","2,79"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20190630,"144,00","52,00","2,77"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20191231,"39,00","5,00","7,80"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20200331,"9,00","35,00","0,26"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20200630,"17,00","32,00","0,53"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20200930,"22,00","37,00","0,59"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20201231,"54,00","38,00","1,42"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20210331,"40,00","62,00","0,65"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20210630,"21,00","51,00","0,41"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20210930,"29,00","43,00","0,67"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20211231,"16,00","46,00","0,35"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20220331,"15,00","66,00","0,23"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20220630,"9,00","54,00","0,17"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20220930,"86,00","69,00","1,25"
Tiempo promedio de espera para la realización de Cirugía para revascularización miocárdica,68,68 - Santander,00000,TOTAL,Total,1,Días,20221231,"67,00","39,00","1,72"

