ExecutionTime
4/7/2023 10:34:42 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"69,00","18.401,00","3,75"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"74,00","38.829,00","1,91"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"57,00","38.755,00","1,47"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"36,00","36.232,00","0,99"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"69,00","44.581,00","1,55"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"118,00","84.037,00","1,40"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"9,00","2.978,00","3,02"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"15,00","5.817,00","2,58"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"19,00","5.535,00","3,43"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"16,00","4.472,00","3,58"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"4,00","3.872,00","1,03"
Tasa de Incidencia de Infección del Tracto Urinario Asociada a Catéter (ISTU-AC),68,68 - Santander,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"10,00","4.365,00","2,29"

