ExecutionTime
4/7/2023 10:35:39 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,201706,"53,00","651.151,00","0,08"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,201712,"19,00","653.120,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,201806,"29,00","511.782,00","0,06"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,201812,"34,00","737.730,00","0,05"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,201906,"28,00","933.029,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,201912,"35,00","965.678,00","0,04"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202003,"17,00","669.785,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202006,"19,00","366.196,00","0,05"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202009,"17,00","364.422,00","0,05"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202012,"10,00","453.583,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202103,"11,00","273.256,00","0,04"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202106,"110,00","304.706,00","0,36"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202109,"110,00","555.436,00","0,20"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202112,"101,00","466.377,00","0,22"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202203,"95,00","234.389,00","0,41"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202206,"83,00","559.092,00","0,15"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202209,"92,00","651.497,00","0,14"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,68,Santander,00000,TOTAL,Total,N/A,1000,Tasa,202212,"94,00","670.157,00","0,14"

