ExecutionTime
4/4/2023 9:54:12 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201606,"2.485,00","4.950,00","50,20"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201612,"3.126,00","5.411,00","57,77"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201706,"4.070,00","6.127,00","66,43"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201712,"4.959,00","7.060,00","70,24"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201806,"5.330,00","6.234,00","85,50"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201812,"6.097,00","6.860,00","88,88"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201906,"5.692,00","5.953,00","95,62"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,201912,"5.361,00","6.160,00","87,03"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,202006,"4.004,00","5.123,00","78,16"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,202012,"4.691,00","6.225,00","75,36"

