ExecutionTime
4/6/2023 10:33:50 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20170630,"64.036,00","69.970,00","91,52"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20171231,"81.274,00","87.423,00","92,97"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20180630,"71.442,00","77.717,00","91,93"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20181231,"64.419,00","71.678,00","89,87"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20190630,"68.145,00","75.658,00","90,07"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20191231,"84.654,00","91.974,00","92,04"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20200331,"31.698,00","33.111,00","95,73"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20200630,"117.431,00","131.418,00","89,36"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20200930,"31.893,00","34.093,00","93,55"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20201231,"37.671,00","40.419,00","93,20"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20210331,"44.051,00","47.333,00","93,07"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20210630,"40.858,00","42.053,00","97,16"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20210930,"40.888,00","41.931,00","97,51"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20211231,"53.174,00","54.264,00","97,99"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20220331,"47.703,00","49.758,00","95,87"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20220630,"51.860,00","53.238,00","97,41"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20220930,"54.561,00","56.610,00","96,38"
Proporción de Satisfacción Global de los usuarios en la IPS,70,70 - Sucre,00000,TOTAL,Total,100,Porcentaje,20221231,"52.363,00","53.812,00","97,31"

