ExecutionTime
4/6/2023 10:34:10 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20170630,"142.325,00","16.852,00","8,45"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20171231,"144.775,00","17.503,00","8,27"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20180630,"180.895,00","23.509,00","7,69"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20181231,"121.001,00","24.590,00","4,92"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20190630,"105.335,00","14.388,00","7,32"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20191231,"99.764,00","17.972,00","5,55"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20200331,"73.073,00","10.700,00","6,83"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20200630,"14.085,00","4.286,00","3,29"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20200930,"22.150,00","7.494,00","2,96"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20201231,"37.056,00","10.236,00","3,62"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20210331,"49.527,00","11.039,00","4,49"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20210630,"21.465,00","7.156,00","3,00"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20210930,"73.648,00","12.807,00","5,75"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20211231,"61.132,00","9.787,00","6,25"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20220331,"78.957,00","13.913,00","5,68"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20220630,"142.615,00","13.797,00","10,34"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20220930,"134.029,00","12.960,00","10,34"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,70,70 - Sucre,00000,TOTAL,Total,1,Días,20221231,"21.686,00","6.353,00","3,41"

