ExecutionTime
4/7/2023 11:02:06 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201706,"15,00","615.685,00","0,02"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201712,"24,00","192.670,00","0,12"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201806,"14,00","51.905,00","0,27"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201812,"37,00","130.136,00","0,28"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201906,"56,00","90.625,00","0,62"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,201912,"42,00","113.400,00","0,37"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202003,"35,00","70.984,00","0,49"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202006,"18,00","113.842,00","0,16"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202009,"14,00","34.476,00","0,41"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202012,"7,00","51.060,00","0,14"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202103,"30,00","37.951,00","0,79"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202106,"25,00","30.459,00","0,82"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202109,"41,00","71.716,00","0,57"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202112,"33,00","43.445,00","0,76"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202203,"30,00","37.589,00","0,80"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202206,"60,00","103.336,00","0,58"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202209,"29,00","138.594,00","0,21"
Tasa de úlceras por presión.,70,Sucre,00000,TOTAL,Total,N/A,1000,Por 1000 días paciente,202212,"24,00","69.076,00","0,35"

