ExecutionTime
4/4/2023 10:25:01 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201606,"1.821,00","6.586,00","27,65"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201612,"2.240,00","6.187,00","36,20"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201706,"3.233,00","6.158,00","52,50"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201712,"3.246,00","5.924,00","54,79"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201806,"3.681,00","7.132,00","51,61"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201812,"3.873,00","7.099,00","54,56"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201906,"4.476,00","6.763,00","66,18"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,201912,"4.347,00","6.681,00","65,07"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,202006,"4.125,00","6.041,00","68,28"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,202012,"3.966,00","6.887,00","57,59"

