ExecutionTime
4/6/2023 10:37:14 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20170630,"940.282,00","347.837,00","2,70"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20171231,"619.544,00","238.707,00","2,60"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20180630,"830.966,00","349.167,00","2,38"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20181231,"919.138,00","359.155,00","2,56"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20190630,"1.263.567,00","393.181,00","3,21"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20191231,"1.002.199,00","317.916,00","3,15"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20200331,"1.042.372,00","210.350,00","4,96"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20200630,"222.135,00","98.832,00","2,25"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20200930,"520.550,00","154.516,00","3,37"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20201231,"493.659,00","137.968,00","3,58"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20210331,"646.046,00","205.589,00","3,14"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20210630,"857.495,00","232.712,00","3,68"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20210930,"718.246,00","186.270,00","3,86"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20211231,"599.779,00","177.220,00","3,38"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20220331,"1.375.999,00","286.112,00","4,81"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20220630,"861.909,00","211.099,00","4,08"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20220930,"440.713,00","201.709,00","2,18"
Tiempo promedio de espera para la asignación de cita de  Medicina General,73,73 - Tolima,00000,TOTAL,Total,1,Días,20221231,"265.446,00","138.810,00","1,91"

