ExecutionTime
4/7/2023 6:23:52 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20170630,"164.130,00","170.857,00","96,06"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20171231,"242.927,00","326.342,00","74,44"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20180630,"174.332,00","180.945,00","96,35"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20181231,"176.313,00","182.995,00","96,35"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20190630,"221.193,00","230.193,00","96,09"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20191231,"212.954,00","219.662,00","96,95"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20200331,"73.724,00","75.418,00","97,75"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20200630,"91.948,00","94.083,00","97,73"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20200930,"87.490,00","89.521,00","97,73"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20201231,"94.339,00","96.599,00","97,66"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20210331,"89.026,00","91.391,00","97,41"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20210630,"95.204,00","98.066,00","97,08"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20210930,"83.699,00","85.090,00","98,37"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20211231,"103.128,00","106.228,00","97,08"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20220331,"88.712,00","90.430,00","98,10"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20220630,"107.359,00","110.459,00","97,19"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20220930,"104.092,00","106.486,00","97,75"
Proporción de Satisfacción Global de los usuarios en la IPS,73,73 - Tolima,00000,TOTAL,Total,100,Porcentaje,20221231,"99.831,00","102.001,00","97,87"

