ExecutionTime
4/7/2023 11:02:48 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"19,00","7.570,00","2,51"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"105,00","27.165,00","3,87"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"44,00","26.186,00","1,68"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"27,00","27.643,00","0,98"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"33,00","27.410,00","1,20"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"31,00","40.307,00","0,77"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIN,1000,Tasa,2016,"1,00","3.262,00","0,31"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIN,1000,Tasa,2017,"1,00","7.128,00","0,14"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIN,1000,Tasa,2018,"1,00","6.457,00","0,15"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIN,1000,Tasa,2019,"16,00","4.758,00","3,36"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIN,1000,Tasa,2020,"6,00","3.402,00","1,76"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIN,1000,Tasa,2021,"7,00","5.661,00","1,24"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"2,00","413,00","4,84"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"11,00","1.827,00","6,02"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"15,00","1.065,00","14,08"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"5,00","760,00","6,58"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"6,00","983,00","6,10"
Tasa de Incidencia de Infección del Torrente Sanguíneo Asociada a Catéter (ITS- AC),73,73 - Tolima,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"4,00","1.416,00","2,82"

