ExecutionTime
4/4/2023 9:51:53 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201406,"1,00","10.462,00","0,01"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201412,"4,00","13.844,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201506,"4,00","15.168,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201512,"4,00","9.864,00","0,04"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201606,"4,00","10.237,00","0,04"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201612,"3,00","10.392,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201706,"3,00","8.979,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201712,"2,00","11.544,00","0,02"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201806,"1,00","11.260,00","0,01"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201812,"3,00","10.833,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201906,"3,00","13.289,00","0,02"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201912,"1,00","17.043,00","0,01"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,202006,"6,00","7.882,00","0,08"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,202012,"5,00","3.447,00","0,15"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,202106,"1,00","3.810,00","0,03"
Letalidad en menores de 5 años por Enfermedad Diarreica Aguda (EDA),76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,202112,"1,00","7.117,00","0,01"

