ExecutionTime
4/4/2023 9:52:49 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201606,"203.961,00","544.426,00","37,46"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201612,"191.101,00","551.823,00","34,63"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201706,"260.616,00","640.369,00","40,70"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201712,"238.317,00","648.196,00","36,77"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201806,"314.963,00","758.620,00","41,52"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201812,"290.404,00","767.674,00","37,83"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201906,"423.848,00","760.631,00","55,72"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,201912,"395.872,00","767.902,00","51,55"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,202006,"345.868,00","774.816,00","44,64"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,202012,"346.801,00","787.639,00","44,03"

