ExecutionTime
4/7/2023 6:31:00 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20170630,"430.130,00","448.248,00","95,96"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20171231,"542.434,00","557.222,00","97,35"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20180630,"590.042,00","606.864,00","97,23"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20181231,"613.771,00","634.382,00","96,75"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20190630,"665.535,00","689.455,00","96,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20191231,"696.012,00","2.031.334,00","34,26"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20200331,"281.922,00","292.066,00","96,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20200630,"216.631,00","221.245,00","97,91"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20200930,"271.875,00","276.565,00","98,30"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20201231,"293.993,00","299.351,00","98,21"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20210331,"280.513,00","285.708,00","98,18"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20210630,"304.552,00","310.625,00","98,04"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20210930,"305.734,00","312.124,00","97,95"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20211231,"343.797,00","350.942,00","97,96"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20220331,"324.418,00","332.100,00","97,69"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20220630,"343.722,00","351.062,00","97,91"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20220930,"369.075,00","376.757,00","97,96"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,76,76 - Valle del Cauca,00000,TOTAL,Total,100,Porcentaje,20221231,"381.543,00","390.675,00","97,66"

