ExecutionTime
4/7/2023 6:30:08 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20170630,"629.616,00","50.739,00","12,41"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20171231,"697.349,00","50.957,00","13,69"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20180630,"929.609,00","62.391,00","14,90"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20181231,"856.118,00","58.218,00","14,71"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20190630,"598.326,00","63.259,00","9,46"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20191231,"649.155,00","57.639,00","11,26"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20200331,"395.000,00","36.924,00","10,70"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20200630,"90.756,00","13.059,00","6,95"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20200930,"150.862,00","21.189,00","7,12"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20201231,"222.136,00","23.086,00","9,62"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20210331,"370.407,00","32.033,00","11,56"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20210630,"367.379,00","30.647,00","11,99"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20210930,"433.191,00","36.292,00","11,94"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20211231,"328.080,00","29.814,00","11,00"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20220331,"579.499,00","44.270,00","13,09"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20220630,"660.443,00","40.719,00","16,22"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20220930,"573.743,00","41.204,00","13,92"
Tiempo promedio de espera para la asignación de cita de  Ginecología,76,76 - Valle del Cauca,00000,TOTAL,Total,1,Días,20221231,"453.632,00","37.582,00","12,07"

