ExecutionTime
4/7/2023 11:09:55 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),201706,"584,00","59.688,00","0,98"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),201712,"565,00","61.647,00","0,92"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),201806,"251,00","55.482,00","0,45"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),201812,"356,00","113.830,00","0,31"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),201906,"403,00","113.715,00","0,35"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),201912,"384,00","125.848,00","0,31"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202003,"159,00","64.457,00","0,25"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202006,"115,00","87.636,00","0,13"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202009,"107,00","40.146,00","0,27"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202012,"146,00","135.032,00","0,11"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202103,"224,00","25.014,00","0,90"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202106,"285,00","27.000,00","1,06"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202109,"168,00","46.013,00","0,37"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202112,"230,00","39.357,00","0,58"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202203,"180,00","32.172,00","0,56"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202206,"267,00","41.785,00","0,64"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202209,"196,00","57.791,00","0,34"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,76,Valle del Cauca,00000,TOTAL,Total,N/A,100,Por 100 (%),202212,"357,00","25.500,00","1,40"

